course_id,course_name,ects,placement,course_type
00000,Bachelorprojekt,15,Forår eller Efterår,Projekter
00001,Bachelorprojekt,17.5,Forår eller Efterår,Projekter
00002,Bachelorprojekt,20,Forår+juni eller Efterår+januar,Projekter
34220,Kommunikationssystemer,5,juni,Valfrie kurser
02110,Algoritmer og Datastrukturer 2,5,E2B,Valgfrie kurser
01227,Grafteori,5,F1B,Valgfrie kurser
01018,Diskret matematik 2: algebra,5,E3B,Valgfrie kurser
02249,Beregningsmæssigt hårde problemer,7.5,E3A,Valgfrie kurser
02282,Algoritmer for store datamængder,7.5,F1A,Valgfrie kurser
02162,Software Engineering 2,10,E3,Valgfrie kurser
02170,Databasesystemer,5,F2B,Valgfrie kurser
02266,User Experience Engineering,5,januar,Valgfrie kurser
02247,Oversætterkonstruktion,5,F2B,Valgfrie kurser
02805,Sociale grafer og interakt.,10,E5,Valgfrie kurser
02809,UX Design Prototypeudvikling,5,E1A,Valgfrie kurser
02148,Introduktion til koordinering af fordelte applikationer,5,januar,Valgfrie kurser
01410,Kryptologi 1,5,F2A,Valgfrie kurser
02239,Datasikkerhed,7.5,E5B,Valgfrie kurser
02233,Netværkssikkerhed,5,F4A,Valgfrie kurser
02180,Introduktion til kunstig intelligens,5,F3A,Valgfrie kurser
02285,Kunstig intelligens & multi-agentsystemer,7.5,F4A,Valgfrie kurser
02450,Intro. til machine learning & data mining,5,"E4A, F4A",Valgfrie kurser
02502,Billedanalyse,5,"E3A, F3A",Valgfrie kurser
02504,Billedanalyse,5,F3B,Valgfrie kurser
02561,Computer-grafik,5,E5A,Valgfrie kurser
02562,Rendering - introduktion,5,E5B,Valgfrie kurser
30510,"GPS, GIS og afsætning",5,juni,Valgfrie kurser
30530,Geograf.inf.syst.(GIS),5,F4A,Valgfrie kurser
42101,Intro. til operationsanalyse,5,"E2A, F2A",Valgfrie kurser
42112,Matematisk programmering,5,januar,Valgfrie kurser
42114,Heltalsprogrammering,5,E4A,Valgfrie kurser
42115,Netværksoptimering,5,E4B,Valgfrie kurser
02601,Introduktion til numeriske algoritmer,5,"E3B, F4B",Valgfrie kurser
02526,Matematisk Modellering,5,F3A,Valgfrie kurser
42009,Indledende økonomi,5,E5A,Valgfrie kurser
63852,Projektledelse,5,januar og august,Valgfrie kurser
34313,Introduktion til Datanet,5,E4B,Valgfrie kurser
34322,Kommunikationsnetværk til styring og dataopsamling,5,F1B (fra F23),Valgfrie kurser
34315,IoT - applikation og infrastrukturudvikling,5,F2B,Valgfrie kurser
34341,Videregående datakommunikation,5,F1B,Valgfrie kurser
30010,Programmeringsprojekt,5,juni,Valgfrie kurser
31070,Hands-on mikrodatamat programmering,5,juni,Valgfrie kurser
34754,Autonome robotsystemer,5,januar,Valgfrie kurser
